,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
83999,679,france,male,38.0,8,0.0,2,0.0,1.0,152879.36,0
56763,581,france,male,39.0,2,0.0,1,1.0,1.0,52827.51,0
16162,685,spain,male,35.0,8,0.0,2,0.0,0.0,74838.64,0
110897,613,france,male,38.0,7,0.0,2,0.0,0.0,85982.39,0
113861,597,france,female,23.0,1,0.0,2,0.0,0.0,126565.21,0
76254,695,germany,male,22.0,10,111812.52,1,1.0,1.0,183045.46,0
51401,707,germany,female,30.0,9,125190.86,1,1.0,0.0,113868.4,0
108045,627,spain,female,36.0,7,0.0,1,0.0,1.0,106851.7,0
77494,628,germany,male,35.0,4,71433.07,1,1.0,1.0,143981.14,0
108131,694,spain,male,33.0,2,95507.12,1,1.0,0.0,71333.44,0
40452,744,france,female,37.0,9,0.0,2,0.0,1.0,85547.33,0
55993,594,spain,female,28.0,8,0.0,2,1.0,0.0,109545.56,0
76203,590,germany,male,45.0,8,135827.33,2,1.0,1.0,131778.58,0
51224,809,france,male,38.0,9,0.0,2,0.0,1.0,80061.31,0
28649,727,germany,female,23.0,2,184244.86,2,1.0,1.0,105898.69,0
35891,683,spain,male,40.0,4,95053.1,2,1.0,1.0,116816.54,0
44977,632,germany,female,38.0,2,137936.94,2,1.0,1.0,166929.43,0
68486,762,spain,female,48.0,5,134204.67,1,1.0,1.0,139971.01,0
35811,597,france,male,41.0,7,0.0,2,0.0,0.0,178291.13,0
53884,744,spain,female,31.0,2,0.0,2,0.0,0.0,140136.2,0
75975,619,france,female,38.0,3,0.0,2,1.0,1.0,85901.09,0
94105,745,france,male,25.0,3,0.0,2,1.0,1.0,172955.94,0
39737,779,france,male,30.0,1,116120.19,2,1.0,1.0,172097.4,0
62314,828,france,male,31.0,0,0.0,2,0.0,0.0,94777.35,0
84508,790,spain,female,35.0,1,0.0,1,0.0,0.0,14679.81,0
28282,850,spain,female,67.0,2,0.0,2,1.0,0.0,51219.8,0
2465,708,france,male,41.0,5,0.0,2,1.0,1.0,10956.82,0
71823,733,spain,female,32.0,10,0.0,2,0.0,1.0,101677.22,0
8394,656,spain,female,54.0,7,0.0,2,0.0,0.0,182495.7,0
48302,649,france,male,32.0,8,0.0,2,1.0,0.0,29296.74,0
19634,705,spain,male,36.0,2,0.0,2,1.0,1.0,103560.98,0
29880,628,france,male,36.0,7,0.0,2,0.0,1.0,38196.24,0
110889,766,france,female,33.0,7,136082.0,2,1.0,0.0,62746.54,0
65455,735,spain,male,29.0,5,0.0,2,0.0,0.0,53510.53,0
44281,654,germany,male,46.0,8,106520.73,2,0.0,1.0,157959.02,0
96335,590,spain,female,34.0,1,0.0,2,0.0,1.0,96670.2,0
46547,752,france,female,33.0,0,0.0,2,1.0,1.0,158750.53,0
42437,660,spain,female,37.0,1,0.0,2,1.0,0.0,95624.55,0
30847,624,germany,male,38.0,8,113882.6,1,1.0,0.0,75869.96,0
6063,542,spain,male,43.0,6,0.0,1,1.0,0.0,102280.61,0
90568,628,france,female,42.0,7,133800.98,1,1.0,1.0,162699.7,0
58302,730,france,male,36.0,1,0.0,2,1.0,1.0,145567.34,0
78849,679,germany,male,45.0,2,135041.36,1,1.0,0.0,130486.89,0
70615,616,france,male,28.0,8,0.0,2,1.0,0.0,103908.82,0
64690,656,germany,male,22.0,1,96381.56,2,1.0,1.0,61623.33,0
20697,731,france,female,38.0,9,0.0,2,1.0,0.0,113656.38,0
34968,559,france,female,33.0,6,0.0,1,1.0,1.0,121542.29,0
40736,663,france,female,37.0,9,125889.3,2,1.0,1.0,142913.98,0
3291,684,france,female,36.0,7,129669.32,1,1.0,1.0,53477.76,0
90383,713,france,female,24.0,2,0.0,1,1.0,0.0,124439.13,0
21512,695,france,male,67.0,6,115764.09,1,1.0,1.0,88890.05,0
97747,603,france,female,31.0,5,0.0,2,1.0,1.0,9607.1,0
31540,660,spain,female,33.0,4,0.0,1,1.0,0.0,29664.45,0
6123,542,germany,female,35.0,2,142717.52,1,1.0,1.0,35418.39,0
78844,732,france,male,27.0,1,0.0,2,0.0,0.0,105722.02,0
78467,703,spain,male,40.0,2,81173.83,2,0.0,1.0,162812.16,0
34809,589,france,male,32.0,6,0.0,2,1.0,0.0,135875.51,0
12938,578,spain,male,30.0,8,0.0,2,0.0,0.0,50839.85,0
59417,635,france,male,36.0,1,0.0,1,1.0,1.0,134878.19,0
52140,604,france,male,40.0,8,115095.88,1,0.0,1.0,78622.46,0
85224,568,germany,male,31.0,2,151675.65,2,0.0,1.0,151316.37,0
26575,689,france,male,35.0,8,0.0,2,1.0,0.0,153787.43,0
44172,613,germany,female,29.0,1,97403.51,2,1.0,0.0,75869.59,0
19647,744,france,female,36.0,10,88541.57,2,1.0,1.0,131718.12,0
111907,769,france,male,45.0,6,0.0,2,0.0,0.0,75204.21,0
107527,490,france,male,29.0,5,0.0,2,1.0,1.0,32089.57,0
56608,638,germany,male,28.0,9,89968.69,1,1.0,1.0,151871.84,0
114395,850,spain,male,81.0,9,0.0,2,1.0,1.0,59568.24,0
42077,682,spain,male,39.0,6,0.0,1,1.0,1.0,109096.71,0
50087,616,france,male,21.0,2,136444.25,1,1.0,0.0,51980.25,0
8631,743,germany,female,36.0,7,110934.95,1,1.0,1.0,91429.86,0
70655,637,spain,female,39.0,9,0.0,2,1.0,1.0,86937.08,0
45712,697,france,female,31.0,7,0.0,3,1.0,1.0,166698.18,0
95208,689,germany,male,37.0,9,117056.44,1,1.0,0.0,189657.26,0
9166,774,france,male,34.0,3,97440.38,1,1.0,1.0,115928.84,0
5201,646,france,female,58.0,6,0.0,1,0.0,1.0,81292.33,0
97598,732,germany,female,45.0,6,152899.24,2,0.0,0.0,132730.07,0
11738,629,france,male,36.0,1,87842.98,1,0.0,0.0,158845.49,0
18257,641,france,male,40.0,9,0.0,1,0.0,0.0,151648.66,0
17798,644,germany,male,31.0,7,113537.6,1,1.0,0.0,50488.28,0
75525,747,germany,male,44.0,2,143340.44,1,1.0,1.0,10063.75,0
7795,582,france,female,43.0,8,0.0,2,1.0,0.0,143940.02,0
56832,582,germany,female,34.0,9,152282.61,2,1.0,0.0,132861.9,0
106724,706,france,male,39.0,3,0.0,2,1.0,0.0,166953.82,0
102062,724,france,female,41.0,6,0.0,1,1.0,0.0,137959.02,0
100780,624,france,female,31.0,4,89688.94,1,1.0,1.0,152305.47,0
110816,705,france,female,36.0,9,0.0,2,1.0,1.0,62454.45,0
81961,837,spain,female,41.0,3,0.0,2,1.0,1.0,81250.65,0
40930,663,france,female,31.0,8,0.0,2,1.0,0.0,76544.0,0
95006,567,france,male,34.0,4,0.0,2,1.0,0.0,125658.44,0
34284,695,germany,female,33.0,7,101238.35,2,1.0,1.0,159463.8,0
91713,639,spain,male,28.0,4,0.0,2,1.0,1.0,91055.27,0
85828,581,france,male,38.0,7,77608.46,2,1.0,0.0,194239.63,0
56344,850,france,male,31.0,8,0.0,1,1.0,0.0,178667.7,0
16597,834,spain,male,32.0,7,0.0,2,0.0,0.0,53437.1,0
42755,579,france,female,39.0,5,121581.56,2,1.0,1.0,141798.72,0
63075,554,france,male,28.0,7,52016.08,1,1.0,1.0,64872.64,0
43286,613,france,male,33.0,4,0.0,2,1.0,0.0,131097.9,0
2880,705,france,male,34.0,9,0.0,2,1.0,1.0,74850.84,0
39290,629,spain,female,35.0,5,0.0,1,1.0,1.0,133570.43,0
6978,663,spain,male,33.0,2,0.0,2,1.0,1.0,106891.2,0
29837,648,germany,male,64.0,7,146498.76,1,0.0,1.0,64853.51,0
84380,601,france,female,38.0,4,60013.81,1,1.0,1.0,38020.05,0
58483,641,spain,male,38.0,8,0.0,2,1.0,1.0,127058.61,0
47178,426,spain,male,34.0,9,0.0,2,1.0,0.0,107876.2,0
107427,664,france,male,38.0,9,0.0,2,1.0,0.0,129936.53,0
62723,686,france,female,32.0,3,0.0,1,0.0,1.0,115779.47,0
98304,554,france,male,39.0,2,0.0,2,1.0,0.0,57531.87,0
106346,678,france,male,59.0,5,0.0,1,0.0,0.0,34774.26,0
74929,628,france,female,36.0,2,0.0,2,0.0,1.0,14073.71,0
80816,634,france,male,36.0,5,0.0,2,1.0,0.0,168830.33,0
21338,651,germany,female,58.0,10,133003.03,1,0.0,1.0,146156.98,0
59746,683,germany,female,34.0,3,149961.99,2,1.0,0.0,116969.73,0
102881,642,spain,female,32.0,8,0.0,2,1.0,0.0,16725.53,0
43368,576,france,male,55.0,9,0.0,2,0.0,1.0,94450.97,0
71314,739,france,female,41.0,4,0.0,2,1.0,1.0,89801.9,0
59115,712,france,male,37.0,9,0.0,2,0.0,1.0,120892.96,0
1543,674,germany,male,31.0,8,85957.88,2,1.0,0.0,8757.39,0
88353,678,france,male,28.0,5,0.0,2,1.0,1.0,120834.58,0
36492,570,france,male,35.0,4,0.0,2,1.0,0.0,198830.98,0
29801,662,france,male,34.0,2,0.0,2,1.0,1.0,50560.45,0
77199,694,france,female,38.0,5,0.0,1,1.0,0.0,130883.91,0
67874,639,france,female,26.0,2,0.0,2,1.0,0.0,121312.19,0
28036,567,france,female,22.0,2,0.0,2,0.0,1.0,167984.72,0
